Altium Designer Pick and Place Locations
D:\LuwuProject\ArduinoUnoQ\ArduinoUnoQV1\Project Outputs for ArduinoUnoQ\Pick Place for ArduinoUnoQ.csv

========================================================================================================================
File Design Information:

Date:       23/09/26
Time:       18:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U5","292253-3","TopLayer","CONN-TH_3P-P2.00_TE_292253-3","7.1628","47.5168","270","插针结构:1x3P;间距:2mm;安装方式:弯插;总PIN数:3P;排数:1;每排PIN数:3;额定电流:4A;触头材质:黄铜;触头镀层:锡;工作温度:-40℃~+105℃;"
"U4","292253-3","TopLayer","CONN-TH_3P-P2.00_TE_292253-3","7.1590","39.0332","270","插针结构:1x3P;间距:2mm;安装方式:弯插;总PIN数:3P;排数:1;每排PIN数:3;额定电流:4A;触头材质:黄铜;触头镀层:锡;工作温度:-40℃~+105℃;"
"U3","292253-3","TopLayer","CONN-TH_3P-P2.00_TE_292253-3","7.1590","30.5496","270","插针结构:1x3P;间距:2mm;安装方式:弯插;总PIN数:3P;排数:1;每排PIN数:3;额定电流:4A;触头材质:黄铜;触头镀层:锡;工作温度:-40℃~+105℃;"
"U2","h7651-50pr","TopLayer","SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR","22.1742","28.3718","0","输出极性:正极;工作电压:8.5V;输出电压:5V;输出电流:1A;电源纹波抑制比(PSRR):-;输出类型:固定;"
"R11","20K/±1%","TopLayer","R0603","23.7354","32.5882","0","Resistor"
"DC1","kh-dc-007b-2.1g","TopLayer","DC-IN-TH_KH-DC-007B-2.1G","59.4507","18.7198","270","连接器类型:DC电源插座;安装方式:弯插;触点内径:-;触点外径:-;额定电流:3A;额定电压:50V;工作温度:-30℃~+70℃;"
"D4","LED/R","TopLayer","D_SOD_523","23.7972","34.4678","180","Typical INFRARED GaAs LED"
"C7","0603 C","TopLayer","C0603","21.4772","24.5618","180","0603贴片电容，±10%，50V"
"C6","0603 C","TopLayer","C0603","25.9080","29.1958","90","0603贴片电容，±10%，50V"
"R8","10K/±1%","TopLayer","R0603","57.2634","40.0812","0","Resistor"
"D3","LED/R","TopLayer","D_SOD_523","28.8264","34.4678","180","Typical INFRARED GaAs LED"
"U1","QMI8658A","TopLayer","LGA-14_L3.0-W2.5-P0.50-TL","20.4470","40.7162","90","六轴陀螺仪  陀螺仪量程(MAX) ±2048dps  加速度计量程(MAX) ±16g"
"SW1","SS-12D06L5","TopLayer","SW-TH_3P-P4.70_L11.1-W12.7","20.8013","15.8750","0","电路结构:单刀双掷;安装方式:-;开关颜色:黑色;额定电流:3A;额定电压:125V;工作寿命:1万次;"
"R4","4.7K/±1%","TopLayer","R0603","16.9672","45.5540","90","Resistor"
"R3","4.7K/±1%","TopLayer","R0603","18.8214","45.5558","270","Resistor"
"R2","4.7K/±1%","TopLayer","R0603","21.4122","45.5558","270","Resistor"
"R1","10K","TopLayer","R0603","19.6850","36.6912","90","Resistor"
"Q2","AMS1117-3.3V","TopLayer","SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR","33.6310","28.5396","90","输入18V 输出3.3V 1A，SOT-89封装"
"CN1","ZX-XH2.54-2PWZ","TopLayer","CONN-TH_2P-P2.50_ZX-XH2.54-2PWZ","7.5030","4.2723","270","插针结构:1x2P;间距:2.5mm;安装方式:弯插;参考系列:XH;总PIN数:2P;排数:1;每排PIN数:2;行距:-;额定电流:2A;触头材质:黄铜;触头镀层:锡;工作温度:-25℃~+85℃;"
"C11","0603 C","TopLayer","C0603","34.3550","34.0614","180","0603贴片电容，±10%，50V"
"C10","0603 C","TopLayer","C0603","34.3550","32.2072","180","0603贴片电容，±10%，50V"
"C9","0603 C","TopLayer","C0603","29.9212","29.1958","90","0603贴片电容，±10%，50V"
"C8","0603 C","TopLayer","C0603","27.9146","29.1958","90","0603贴片电容，±10%，50V"
"C3","0603 C","TopLayer","C0603","25.5524","45.4294","270","0603贴片电容，±10%，50V"
"C4","0603 C","TopLayer","C0603","23.5204","45.4294","270","0603贴片电容，±10%，50V"
"C2","0603 C","TopLayer","C0603","23.1140","40.9336","270","0603贴片电容，±10%，50V"
"C1","0603 C","TopLayer","C0603","24.9936","40.9306","270","0603贴片电容，±10%，50V"
"SN2","SN74LVC1G125","TopLayer","SOT_23_5","58.0898","43.2624","0",""
"SN1","SN74LVC1G126","TopLayer","SOT_23_5","52.9144","43.0632","90","输出缓冲器"
"R10","3.3K/±1%","TopLayer","R0603","57.2652","37.4904","0","Resistor"
"R9","1K/±1%","TopLayer","R0603","49.9364","37.6310","90","Resistor"
"R5","10K/±1%","TopLayer","R0603","28.7646","32.6136","0","Resistor"
"Q1","BC807","TopLayer","SOT-23-3","53.0098","37.5158","180","三极管BJT"
"P3","Header 3","TopLayer","MX_1.25-WI-3P","4.2910","23.6274","270","Header, 3-Pin"
"P2","Header 3","TopLayer","MX_1.25-WI-3P","4.2926","17.5060","270","Header, 3-Pin"
"P1","Header 3","TopLayer","MX_1.25-WI-3P","4.2926","11.3846","270","Header, 3-Pin"
"H4","pz254v-11-08p","BottomLayer","HDR-TH_8P-P2.54-V-M","54.6227","50.8127","180","插针结构:1x8P;间距:2.54mm;行距:-;圆针/方针:方针;安装方式:直插;排数:单排;总PIN位数:8P;额定电流:3A;额定电压:250V;配合针长度:6mm;塑高:2.5mm;端接针长度:3mm;触头材质:黄铜;触头镀层:-;工作温度:-40℃~+105℃;颜色:黑色;"
"H3","pz254v-11-08p","BottomLayer","HDR-TH_8P-P2.54-V-M","36.8427","2.5527","180","插针结构:1x8P;间距:2.54mm;行距:-;圆针/方针:方针;安装方式:直插;排数:单排;总PIN位数:8P;额定电流:3A;额定电压:250V;配合针长度:6mm;塑高:2.5mm;端接针长度:3mm;触头材质:黄铜;触头镀层:-;工作温度:-40℃~+105℃;颜色:黑色;"
"H2","pz254v-11-10p","BottomLayer","HDR-TH_10P-P2.54-V-M","30.2687","50.8127","180","插针结构:1x10P;间距:2.54mm;行距:-;圆针/方针:方针;安装方式:直插;排数:单排;总PIN位数:10P;额定电流:3A;额定电压:250V;配合针长度:6mm;塑高:2.5mm;端接针长度:3mm;触头材质:黄铜;触头镀层:-;工作温度:-40℃~+105℃;颜色:黑色;"
"H1","pz254v-11-06p","BottomLayer","HDR-TH_6P-P2.54-V-M-1","57.1627","2.5527","180","插针结构:1x6P;间距:2.54mm;行距:-;圆针/方针:方针;安装方式:直插;排数:单排;总PIN位数:6P;额定电流:3A;额定电压:-;配合针长度:6mm;塑高:2.5mm;端接针长度:3mm;触头材质:黄铜;触头镀层:金;工作温度:-40℃~+105℃;颜色:黑色;"
"C5","100nF/25V","TopLayer","C0603","49.8602","41.4020","270","贴片电容"
